timestamp,symbol,session,score,direction,ema_weight,macd_weight,rsi_weight,adx_weight,vwma_weight,bb_weight,candle_patterns,chart_pattern
2025-07-13 18:42:27,USDCUSDT,US,5.95,,1.0,1.2,1.2,1.2,1.0,1.0,Hammer,Triangle
2025-07-13 18:42:28,FDUSDUSDT,US,5.95,,1.0,1.2,1.2,1.2,1.0,1.0,Hammer,None
2025-07-13 18:42:30,BANANAS31USDT,US,4.86,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 18:42:34,SEIUSDT,US,3.78,,1.0,1.2,1.2,1.2,1.0,1.0,,FallingWedge
2025-07-13 18:43:38,USDCUSDT,US,5.95,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 18:43:39,FDUSDUSDT,US,3.06,,1.0,1.2,1.2,1.2,1.0,1.0,,None
2025-07-13 18:43:41,BANANAS31USDT,US,4.86,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 18:43:44,SEIUSDT,US,3.78,,1.0,1.2,1.2,1.2,1.0,1.0,,FallingWedge
2025-07-13 18:44:48,USDCUSDT,US,5.95,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 18:44:49,FDUSDUSDT,US,5.95,,1.0,1.2,1.2,1.2,1.0,1.0,Hammer,None
2025-07-13 18:44:52,BANANAS31USDT,US,4.86,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 18:44:54,SEIUSDT,US,3.78,,1.0,1.2,1.2,1.2,1.0,1.0,,FallingWedge
2025-07-13 18:45:58,USDCUSDT,US,5.95,,1.0,1.2,1.2,1.2,1.0,1.0,,None
2025-07-13 18:46:00,BANANAS31USDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,ShootingStar,Triangle
2025-07-13 18:47:09,DOGEUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 18:47:10,BANANAS31USDT,US,4.86,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 18:47:40,USDCUSDT,US,5.95,,1.0,1.2,1.2,1.2,1.0,1.0,,None
2025-07-13 18:47:43,BANANAS31USDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,"Hammer, ShootingStar",Triangle
2025-07-13 19:26:26,USDCUSDT,US,5.95,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 19:26:27,PENGUUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,,RisingWedge
